2ndFlrSF,GarageArea,OverallQual,TotalBsmtSF
0.0,300,5,1150
728.0,400,6,728
0.0,588,7,944
750.0,564,6,750
0.0,375,5,1165
729.0,398,6,839
1054.0,836,9,1104
0.0,573,7,1560
,312,5,728
0.0,286,4,630
0.0,504,6,1143
1101.0,947,7,1063
550.0,384,4,560
1426.0,550,8,1184
932.0,936,7,1026
0.0,898,8,1468
432.0,539,5,0
432.0,240,5,768
438.0,438,7,1092
795.0,440,4,795
0.0,240,6,1064
0.0,624,5,864
0.0,440,7,1208
504.0,264,6,483
1281.0,628,7,1210
600.0,440,5,765
1141.0,779,8,1128
1347.0,840,9,1249
0.0,352,4,907
,440,6,855
0.0,540,5,1106
0.0,684,4,858
0.0,516,7,2223
0.0,672,4,1005
809.0,409,7,712
0.0,384,5,1040
0.0,461,5,1268
887.0,578,7,874
0.0,888,6,1012
0.0,439,7,1385
0.0,480,6,1436
0.0,839,8,2109
0.0,544,7,1573
0.0,820,9,2330
977.0,645,7,1057
0.0,431,6,1291
0.0,0,5,858
560.0,280,6,560
0.0,246,2,290
728.0,440,6,672
0.0,240,5,920
0.0,645,6,1127
0.0,525,6,547
0.0,0,5,0
689.0,441,6,844
1254.0,380,8,965
912.0,0,6,912
868.0,422,6,872
0.0,576,5,912
0.0,600,6,1461
448.0,216,6,976
0.0,397,6,1316
0.0,450,5,768
378.0,240,5,756
0.0,865,8,1623
660.0,400,7,660
966.0,538,5,1013
0.0,525,5,1120
0.0,756,5,992
546.0,0,4,546
978.0,704,7,718
0.0,576,5,845
1039.0,668,6,894
546.0,264,6,672
808.0,534,7,808
870.0,556,8,1220
0.0,487,5,1484
0.0,506,5,1656
406.0,210,6,818
1032.0,390,6,992
0.0,576,7,832
546.0,286,4,546
0.0,252,5,1268
834.0,550,7,799
0.0,502,8,1657
0.0,508,6,1478
0.0,306,6,932
0.0,526,7,1277
0.0,630,7,1530
0.0,484,5,1024
0.0,528,5,840
0.0,626,7,1314
571.0,868,7,1391
702.0,388,7,788
0.0,420,6,848
0.0,240,5,672
1152.0,252,7,1152
704.0,180,5,660
754.0,484,7,725
0.0,740,7,1226
1111.0,444,6,832
0.0,576,6,1158
0.0,480,5,1154
844.0,527,7,880
885.0,431,6,773
0.0,520,4,0
521.0,300,5,816
1479.0,1014,8,728
504.0,264,6,483
547.0,0,5,644
0.0,505,7,585
,440,7,744
0.0,908,8,1976
0.0,758,8,1563
539.0,288,7,572
651.0,270,7,776
0.0,452,3,0
880.0,706,9,1848
672.0,264,5,630
192.0,586,7,1332
468.0,680,4,0
0.0,430,5,1125
600.0,480,7,600
842.0,520,6,798
904.0,525,7,1223
0.0,240,6,972
878.0,466,8,1128
,596,5,1144
0.0,288,5,1062
0.0,484,5,926
838.0,592,8,1086
0.0,240,5,1164
0.0,840,5,952
1215.0,0,8,684
0.0,540,6,880
691.0,672,6,482
0.0,480,6,1004
456.0,305,4,747
0.0,495,5,915
0.0,440,5,1145
0.0,445,7,1453
0.0,670,8,1581
0.0,825,8,1588
0.0,264,6,588
0.0,368,5,1050
0.0,432,4,960
454.0,280,5,810
0.0,462,6,1489
0.0,786,7,1726
720.0,484,7,1362
0.0,484,7,1309
1140.0,1069,8,1284
984.0,660,7,879
0.0,396,5,768
0.0,0,1,0
0.0,384,6,1136
0.0,405,6,1237
0.0,288,5,912
936.0,264,5,864
720.0,240,5,720
526.0,0,5,658
925.0,308,7,925
0.0,624,5,1063
0.0,576,6,1422
0.0,576,5,1632
0.0,451,7,1630
0.0,0,3,1013
0.0,420,4,0
806.0,216,6,806
653.0,576,4,1122
0.0,418,6,1416
1092.0,868,8,1482
764.0,520,6,764
0.0,520,6,1248
0.0,440,6,958
795.0,370,6,833
0.0,490,4,1281
0.0,400,6,1158
,220,6,735
0.0,288,5,892
0.0,240,5,788
0.0,0,5,1140
813.0,483,6,780
912.0,551,6,848
981.0,812,10,1017
0.0,216,5,691
,676,8,768
639.0,325,6,994
776.0,442,7,994
884.0,543,7,884
1796.0,807,10,1930
,403,6,1298
0.0,484,7,1501
0.0,0,5,630
0.0,440,6,1103
319.0,384,4,859
0.0,440,4,1196
,529,7,1372
0.0,296,6,1099
0.0,626,7,1422
874.0,501,6,1580
0.0,440,4,1121
1330.0,852,8,1143
0.0,576,5,1057
0.0,602,5,1097
1106.0,671,8,1152
0.0,746,9,2002
714.0,440,6,672
871.0,1043,8,1082
0.0,462,8,1337
1288.0,648,8,969
0.0,826,8,1705
0.0,484,5,1024
0.0,660,7,1373
0.0,567,7,1902
1216.0,693,7,1216
0.0,528,5,1086
0.0,460,6,1054
1336.0,676,8,1225
0.0,288,5,876
,484,7,845
703.0,299,6,689
0.0,576,5,1109
768.0,240,5,1208
208.0,208,6,862
611.0,502,6,611
1286.0,429,7,975
668.0,250,4,649
0.0,928,8,1734
0.0,312,6,1194
540.0,720,5,876
0.0,354,5,1383
1001.0,871,5,1001
0.0,474,8,1496
620.0,660,5,984
0.0,504,5,680
755.0,476,6,741
0.0,840,7,1494
0.0,180,6,960
0.0,397,7,1145
742.0,0,6,742
0.0,525,6,819
581.0,686,5,650
1370.0,656,9,1122
0.0,528,4,600
989.0,583,7,1108
1538.0,884,10,3138
390.0,624,6,698
0.0,0,4,720
0.0,830,8,1580
0.0,0,4,1440
,540,6,738
0.0,570,7,1500
464.0,216,5,884
0.0,884,5,864
0.0,514,6,1394
832.0,484,6,800
0.0,336,5,912
1254.0,864,6,1370
0.0,349,5,1140
548.0,440,5,440
1178.0,440,8,853
728.0,429,6,728
0.0,660,4,864
739.0,380,6,970
855.0,528,8,810
1274.0,656,7,1347
,595,7,798
685.0,420,3,978
0.0,529,4,1364
0.0,504,5,1728
790.0,462,6,1055
831.0,440,6,822
0.0,776,8,1489
0.0,300,6,864
0.0,276,5,1256
0.0,816,5,816
918.0,492,7,864
1215.0,833,7,1104
0.0,461,5,1065
0.0,312,6,1200
0.0,632,7,1187
1349.0,642,8,1094
,527,7,1720
0.0,0,5,672
0.0,496,6,1278
0.0,450,5,1090
,420,8,1141
0.0,440,5,969
0.0,1248,3,894
,360,5,1008
979.0,492,6,979
0.0,895,8,1795
0.0,606,9,1930
0.0,439,5,1176
672.0,400,6,672
0.0,554,7,1417
0.0,338,5,864
495.0,200,5,616
790.0,420,6,680
0.0,440,6,1116
,288,6,864
0.0,498,5,1297
0.0,264,5,1113
0.0,577,7,1490
783.0,614,7,756
956.0,678,7,991
0.0,908,8,1709
0.0,440,6,1010
886.0,455,7,1117
0.0,388,7,1266
876.0,716,9,1992
1276.0,554,7,952
0.0,494,7,1414
785.0,471,6,928
741.0,434,6,713
430.0,528,4,698
0.0,358,6,1096
0.0,574,6,1728
762.0,711,8,1629
0.0,452,5,1437
530.0,400,7,1156
0.0,400,7,856
0.0,484,8,1370
0.0,480,6,1680
739.0,380,7,970
,264,6,483
901.0,216,7,793
1175.0,360,6,952
0.0,264,6,1059
0.0,533,6,1604
0.0,336,6,1244
0.0,252,4,700
623.0,480,7,600
0.0,612,6,1686
0.0,800,8,1638
0.0,264,5,864
858.0,639,7,939
0.0,462,4,0
873.0,839,7,992
0.0,308,5,1056
1174.0,820,9,1926
0.0,492,6,506
0.0,636,8,1686
709.0,413,6,802
0.0,246,5,1057
1044.0,560,4,777
806.0,786,7,1204
1523.0,594,7,1673
807.0,512,7,880
0.0,457,6,1372
0.0,437,7,1346
,648,8,1053
628.0,462,7,600
0.0,264,5,999
622.0,528,4,622
0.0,490,6,1127
0.0,702,9,1626
1218.0,853,8,1158
551.0,352,5,540
676.0,388,6,794
0.0,532,7,1541
0.0,0,4,1440
0.0,438,7,868
0.0,481,8,1494
,738,9,1462
523.0,186,5,731
1242.0,683,8,1028
850.0,540,6,816
703.0,504,7,1064
,550,8,1324
546.0,330,6,912
0.0,440,6,1314
0.0,529,6,1575
0.0,912,9,1620
684.0,304,4,1104
0.0,240,6,814
0.0,500,6,1542
677.0,492,8,776
875.0,225,7,815
0.0,576,5,1188
0.0,508,7,1568
0.0,0,5,864
576.0,336,5,536
1121.0,746,7,700
518.0,210,4,686
0.0,216,4,656
698.0,384,6,698
0.0,834,9,1856
551.0,789,8,1582
0.0,529,6,1602
672.0,280,5,630
702.0,393,6,783
0.0,352,5,912
,420,6,1004
304.0,576,6,1181
0.0,220,4,747
0.0,420,4,0
829.0,493,7,831
665.0,308,5,1026
0.0,720,5,864
0.0,264,6,744
829.0,564,7,963
862.0,474,7,764
0.0,472,8,1476
1818.0,870,7,1470
0.0,840,9,1652
0.0,350,5,1276
,271,6,856
472.0,0,4,720
0.0,504,5,840
,454,7,1157
0.0,392,5,0
883.0,532,7,728
688.0,336,5,264
684.0,216,6,684
765.0,379,3,840
0.0,900,10,2006
625.0,528,7,625
0.0,757,8,1624
0.0,360,4,845
0.0,418,5,1389
0.0,480,5,968
546.0,286,4,546
0.0,420,6,848
0.0,308,5,1269
0.0,288,5,1092
795.0,539,7,795
0.0,283,4,952
716.0,0,4,736
0.0,504,5,1039
0.0,412,6,1204
0.0,672,6,1029
0.0,701,7,2158
0.0,328,5,985
0.0,880,8,3206
600.0,216,7,861
0.0,484,5,980
1129.0,590,7,1095
602.0,180,6,602
626.0,432,6,697
1028.0,836,8,1034
0.0,0,2,264
0.0,840,8,1573
0.0,774,8,1932
0.0,404,5,1075
0.0,280,5,882
,786,10,1700
661.0,240,5,636
1015.0,834,7,1379
1194.0,680,8,774
0.0,532,7,1536
0.0,200,3,864
0.0,546,8,3200
631.0,670,7,1434
1320.0,864,7,1240
0.0,530,7,1304
1060.0,878,8,1030
0.0,360,5,864
800.0,530,5,784
,480,6,1040
512.0,528,6,684
668.0,451,5,1052
0.0,576,5,1728
903.0,577,8,1128
0.0,297,6,1196
0.0,360,5,720
840.0,462,5,780
0.0,1134,8,2077
0.0,617,9,1869
930.0,431,7,930
0.0,308,2,480
0.0,516,4,0
0.0,288,4,816
,478,7,1271
830.0,451,6,936
1168.0,796,8,1338
0.0,796,5,1144
1611.0,621,5,612
605.0,312,6,972
0.0,624,5,970
0.0,513,7,2136
,440,6,1026
0.0,0,5,698
0.0,576,7,1533
0.0,660,5,720
0.0,530,7,1391
0.0,240,5,1078
0.0,471,8,1267
0.0,301,6,1442
940.0,0,5,940
0.0,644,7,1502
0.0,458,6,1392
0.0,0,4,1768
0.0,390,5,1624
0.0,301,6,958
0.0,600,5,894
0.0,402,6,1224
590.0,846,10,1682
0.0,430,8,1256
0.0,712,8,1732
728.0,390,6,728
0.0,539,6,655
0.0,240,5,1008
0.0,430,7,1373
892.0,180,5,747
0.0,280,7,637
640.0,400,5,384
734.0,496,7,980
0.0,294,5,0
0.0,0,3,728
591.0,288,6,626
0.0,299,5,990
1320.0,691,8,1117
0.0,420,6,848
672.0,300,6,672
0.0,676,6,1218
748.0,672,6,588
0.0,550,8,1247
1330.0,619,6,1330
0.0,482,8,1600
0.0,546,6,1844
858.0,689,7,1113
793.0,463,6,982
887.0,574,7,1050
0.0,0,4,630
0.0,530,7,1494
,0,3,600
0.0,508,7,1274
0.0,364,6,1156
0.0,528,6,660
702.0,393,7,783
793.0,550,7,793
0.0,0,6,816
0.0,555,7,1176
,548,4,941
0.0,528,6,1080
0.0,240,5,768
0.0,818,8,1694
0.0,765,8,1800
915.0,560,5,662
678.0,315,6,1040
0.0,576,6,940
0.0,408,5,876
0.0,484,5,1126
1332.0,872,8,1136
0.0,540,6,938
0.0,288,5,1052
524.0,0,6,572
0.0,484,6,1141
778.0,484,6,732
848.0,660,8,1004
0.0,0,6,520
720.0,513,5,624
0.0,576,7,1947
1051.0,360,6,907
1540.0,831,8,1142
0.0,484,7,1364
0.0,402,7,1237
0.0,528,6,1328
0.0,286,5,978
800.0,486,7,768
0.0,192,6,952
0.0,500,8,1660
0.0,1166,9,2216
0.0,160,6,768
0.0,396,7,1340
0.0,480,6,1610
1259.0,600,5,1361
0.0,438,7,1248
0.0,288,6,912
,472,6,943
0.0,1356,4,1249
884.0,180,6,1028
0.0,456,5,1144
672.0,281,5,793
0.0,472,6,1516
0.0,675,7,1498
1157.0,560,6,804
728.0,440,7,728
1196.0,349,7,1032
0.0,708,9,1896
0.0,474,7,1368
908.0,588,7,873
1237.0,858,9,1452
551.0,312,5,720
,604,7,1845
900.0,577,7,1190
914.0,546,6,794
0.0,436,7,1302
0.0,542,8,2524
534.0,338,4,840
862.0,474,7,764
299.0,240,5,735
,588,8,1518
592.0,240,7,1040
0.0,598,7,1649
895.0,432,6,854
650.0,324,7,650
0.0,564,8,1742
564.0,280,5,686
0.0,528,6,816
988.0,506,8,908
403.0,240,6,940
0.0,377,6,992
1103.0,552,8,832
0.0,534,8,1777
1081.0,434,7,847
0.0,336,5,1051
601.0,440,6,855
817.0,431,7,798
0.0,880,8,1868
0.0,665,8,1565
860.0,663,7,814
0.0,0,5,974
898.0,586,8,1065
1017.0,678,7,1080
0.0,500,7,1424
,720,5,1120
687.0,240,7,1026
741.0,583,6,689
1312.0,666,8,1234
240.0,0,5,780
679.0,779,4,1095
0.0,0,1,683
709.0,490,7,673
1518.0,840,10,1107
1032.0,205,6,1008
766.0,373,6,806
0.0,739,7,1643
0.0,304,5,1056
272.0,392,5,784
0.0,504,6,1362
0.0,420,6,848
0.0,527,7,1454
,628,7,1208
370.0,566,5,796
0.0,691,8,1986
1093.0,983,7,1311
0.0,626,7,1314
739.0,380,7,970
546.0,0,6,672
1440.0,0,6,1440
0.0,0,5,1200
0.0,297,5,912
1872.0,832,10,2444
854.0,548,7,856
1140.0,656,8,1181
704.0,234,7,704
0.0,528,5,1466
0.0,292,6,1383
0.0,410,5,0
0.0,576,5,990
728.0,240,7,918
1020.0,440,6,1020
685.0,550,7,539
743.0,541,8,1683
1020.0,576,6,952
567.0,240,4,672
600.0,480,7,600
672.0,468,5,672
828.0,500,7,840
0.0,400,3,0
0.0,576,5,900
0.0,812,5,1559
0.0,248,4,864
,264,6,923
0.0,782,7,1552
,642,7,756
0.0,440,5,1461
504.0,264,6,483
0.0,521,6,1200
568.0,281,5,768
0.0,336,5,894
0.0,336,5,0
0.0,528,7,1053
0.0,576,5,1063
0.0,459,4,1051
1306.0,721,7,1203
0.0,297,6,1215
1323.0,844,8,1165
600.0,480,7,600
0.0,560,5,1728
808.0,480,7,576
985.0,870,8,1396
730.0,457,7,996
843.0,562,7,813
1414.0,792,7,1264
0.0,528,4,864
0.0,234,4,672
0.0,564,5,1164
,440,6,1078
0.0,550,7,1710
0.0,502,5,1219
0.0,400,8,1273
472.0,576,5,927
0.0,766,7,1907
0.0,0,5,1008
0.0,0,5,0
983.0,484,7,1107
0.0,461,5,1214
0.0,454,5,1763
0.0,808,8,1616
0.0,627,8,1554
1243.0,642,7,964
0.0,0,4,796
840.0,308,6,840
0.0,420,6,848
0.0,528,5,1142
0.0,564,6,1602
0.0,564,9,1684
0.0,888,8,2000
0.0,834,7,1616
573.0,531,8,1299
534.0,225,5,1042
807.0,575,7,807
0.0,276,5,876
0.0,620,8,1844
0.0,528,6,1258
0.0,500,8,1260
0.0,866,8,1626
,440,6,855
707.0,403,8,707
0.0,478,7,1504
0.0,690,7,1670
651.0,518,7,1192
0.0,440,6,1069
0.0,525,6,547
0.0,995,5,1572
561.0,456,5,1088
0.0,0,4,882
0.0,676,9,1922
0.0,352,5,780
580.0,300,5,533
0.0,430,7,1530
0.0,0,5,833
504.0,308,3,649
0.0,260,5,1040
1362.0,1052,8,1466
220.0,288,6,1032
0.0,305,5,1246
0.0,180,6,884
686.0,416,5,686
0.0,288,5,832
741.0,342,6,896
,484,7,1358
0.0,484,6,1657
0.0,275,6,816
1038.0,390,7,992
862.0,474,7,764
689.0,299,6,663
408.0,240,5,768
811.0,240,6,715
796.0,432,6,616
713.0,216,6,756
656.0,400,7,384
0.0,495,6,1094
0.0,758,8,1814
252.0,576,5,672
0.0,528,8,1488
1072.0,603,6,616
0.0,572,6,1262
0.0,788,9,1905
878.0,541,7,1153
0.0,478,6,1064
888.0,613,7,941
0.0,300,5,828
252.0,280,4,672
1208.0,905,8,1055
872.0,540,6,1127
0.0,528,7,1242
584.0,240,4,884
1151.0,434,7,884
0.0,516,6,1232
866.0,483,7,803
348.0,0,4,576
0.0,450,5,894
1142.0,619,6,1054
0.0,396,5,768
,0,4,0
1040.0,504,5,1040
0.0,576,5,1040
467.0,216,6,1149
0.0,273,4,641
0.0,484,5,1134
0.0,528,6,832
0.0,384,5,894
596.0,189,5,596
0.0,772,9,1833
0.0,288,5,864
0.0,264,5,864
1031.0,506,6,1214
1063.0,360,5,849
678.0,470,6,926
1134.0,422,7,868
0.0,308,5,938
514.0,216,7,912
992.0,400,5,928
0.0,260,5,1098
0.0,0,3,270
0.0,528,6,1252
0.0,792,5,1584
0.0,592,9,1498
0.0,506,9,1698
0.0,299,5,1092
0.0,758,9,1746
983.0,667,7,1304
0.0,200,5,768
0.0,270,5,1041
915.0,431,8,967
1257.0,390,6,1010
0.0,180,5,715
0.0,364,5,1216
0.0,714,6,1567
1088.0,1020,9,1734
689.0,360,7,689
457.0,368,4,715
896.0,521,6,1151
0.0,286,5,936
880.0,440,7,840
0.0,338,5,1050
0.0,576,6,1114
,750,5,1008
0.0,682,8,1593
,318,5,1214
0.0,264,5,816
0.0,400,5,0
1360.0,795,8,1360
840.0,685,8,1079
0.0,672,5,1097
767.0,423,6,983
504.0,288,6,483
0.0,576,6,981
0.0,447,5,1398
0.0,308,5,816
896.0,622,7,944
1230.0,576,6,942
0.0,902,5,1002
,294,4,721
0.0,564,6,936
0.0,856,8,1713
0.0,576,6,1392
0.0,923,6,912
0.0,648,4,1064
0.0,608,8,1595
0.0,601,6,1184
975.0,576,7,975
0.0,490,5,1086
504.0,528,5,1324
0.0,624,5,768
0.0,676,6,1161
885.0,647,8,1284
,287,3,0
1208.0,520,6,1510
0.0,576,4,936
0.0,588,4,1138
0.0,954,7,1689
0.0,280,4,948
756.0,440,6,756
0.0,450,5,894
920.0,644,7,900
0.0,290,4,0
0.0,0,3,544
1185.0,666,8,2033
,632,7,1232
0.0,528,7,1164
336.0,160,5,912
0.0,572,5,747
1100.0,440,6,860
,286,4,546
0.0,400,4,894
0.0,558,7,1453
0.0,270,5,1060
0.0,484,7,1436
0.0,504,5,540
888.0,320,7,880
0.0,432,6,816
656.0,400,7,384
0.0,303,5,1617
0.0,648,7,1356
0.0,312,4,1100
0.0,264,5,816
,308,5,1350
568.0,842,10,1722
0.0,572,5,864
0.0,453,7,1257
,0,4,858
878.0,506,6,832
351.0,264,4,732
694.0,460,6,953
0.0,288,5,864
0.0,522,8,1753
,416,6,1477
780.0,484,5,780
0.0,588,5,1626
668.0,462,6,561
0.0,890,8,1566
684.0,460,6,916
448.0,240,5,896
0.0,540,5,1126
0.0,264,5,876
0.0,205,5,616
0.0,0,5,1800
0.0,505,6,1505
0.0,621,5,1430
0.0,451,4,1132
836.0,470,6,928
441.0,240,4,0
748.0,336,6,804
0.0,457,7,1346
0.0,220,3,1162
756.0,440,6,756
0.0,288,5,935
0.0,270,6,813
896.0,230,5,896
797.0,514,7,1475
648.0,282,5,910
832.0,528,7,832
0.0,522,7,2110
881.0,684,6,824
550.0,336,5,757
576.0,256,5,811
732.0,380,7,976
649.0,440,6,912
648.0,520,5,954
975.0,493,7,915
0.0,506,5,931
0.0,573,7,1212
596.0,672,7,952
,384,5,980
,470,6,1073
0.0,384,4,1056
0.0,484,8,1234
672.0,440,5,630
371.0,0,6,319
0.0,576,5,858
1142.0,736,9,1175
0.0,414,5,105
813.0,442,6,780
876.0,400,6,684
0.0,630,5,0
0.0,582,8,1338
0.0,312,5,1188
0.0,527,7,1459
954.0,533,7,1306
0.0,605,7,1413
0.0,0,5,996
0.0,504,6,1092
625.0,625,7,625
864.0,572,7,864
0.0,280,5,924
0.0,530,6,1199
0.0,300,5,948
0.0,429,5,925
0.0,366,5,458
886.0,610,8,1580
941.0,487,7,924
0.0,572,5,1040
0.0,804,10,2633
,280,5,993
711.0,460,6,953
0.0,360,6,784
0.0,473,6,1196
0.0,284,4,1134
0.0,244,5,1268
0.0,480,7,1428
0.0,352,6,1041
0.0,275,5,1008
0.0,860,8,1622
864.0,673,6,864
0.0,322,5,952
0.0,286,5,1040
0.0,511,8,1686
,462,7,935
0.0,528,5,1392
0.0,270,5,608
742.0,390,6,742
0.0,300,5,971
0.0,539,6,1029
0.0,0,6,945
0.0,478,7,1405
712.0,472,6,959
0.0,495,5,1056
720.0,672,5,0
0.0,264,6,918
0.0,528,5,1437
0.0,440,6,1069
727.0,441,6,727
1070.0,510,7,817
0.0,895,8,1935
1080.0,564,7,710
0.0,420,6,848
670.0,400,7,384
0.0,260,5,1056
0.0,484,5,864
0.0,564,6,1032
0.0,338,5,961
0.0,480,5,1235
0.0,719,7,910
504.0,264,6,483
0.0,504,6,975
0.0,0,5,1006
780.0,0,5,780
,565,7,860
0.0,308,4,960
0.0,660,7,1604
0.0,621,8,2217
0.0,540,6,1844
772.0,380,6,799
0.0,577,7,1468
167.0,529,5,1499
0.0,338,6,1240
902.0,578,8,866
0.0,299,5,1096
857.0,542,7,791
688.0,453,6,660
728.0,410,7,728
0.0,319,5,1484
0.0,544,6,1682
785.0,389,6,808
0.0,288,5,1008
586.0,440,6,855
0.0,866,8,1710
888.0,463,7,948
754.0,475,6,725
0.0,367,7,723
,426,7,654
0.0,648,8,1520
0.0,308,5,980
850.0,753,8,1085
1357.0,750,8,1453
,696,8,1470
1169.0,480,5,1105
0.0,433,6,1261
0.0,480,5,1486
0.0,240,5,773
0.0,462,6,1319
913.0,546,7,866
0.0,0,4,950
0.0,420,6,848
596.0,198,6,780
729.0,440,6,729
0.0,0,4,440
729.0,440,6,729
0.0,440,5,864
833.0,427,7,832
0.0,611,5,1390
0.0,576,4,864
761.0,512,6,528
0.0,616,6,1606
612.0,528,6,612
0.0,288,5,928
720.0,0,4,0
809.0,546,7,728
708.0,776,6,708
846.0,736,8,1058
0.0,308,5,936
840.0,452,6,716
0.0,400,4,864
0.0,900,7,1654
0.0,576,5,816
1097.0,856,8,1252
0.0,436,4,1067
584.0,539,6,0
0.0,420,7,1374
644.0,486,7,1195
