1stFlrSF,BsmtExposure,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,KitchenQual,LotArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1679,No,1138,270,575,1679,Gd,8125,42,5,6,1408,1994,1998,193500
1478,No,189,628,442,1478,TA,8400,0,3,6,1478,1957,1957,156500
928,No,377,551,252,928,TA,13300,0,7,5,928,1956,2000,132000
846,Av,0,846,650,1692,Gd,13159,114,5,7,846,2009,2009,224500
661,No,0,661,552,1250,TA,5362,0,6,5,661,1910,2003,139000
847,Gd,0,847,433,1733,Gd,12394,48,5,7,847,2003,2003,225000
716,No,425,291,432,1432,Gd,7795,51,5,7,716,2004,2005,188500
1077,No,851,140,205,1077,TA,7420,4,6,5,991,1939,1950,118000
944,None,0,0,528,944,Fa,10206,0,3,3,0,1952,1952,82000
1419,Av,945,474,567,1419,Gd,8089,0,6,8,1419,2007,2007,392000
960,No,0,672,288,960,TA,8926,0,3,4,672,1956,1956,112000
1646,Av,0,1638,870,1646,Gd,10656,80,5,8,1638,2006,2007,248900
999,Av,784,141,300,999,TA,10205,72,5,5,925,1962,1962,134500
779,No,0,742,308,935,TA,9100,0,6,5,742,1930,1960,79500
1392,Mn,57,1335,576,2462,Gd,19378,132,5,7,1392,2005,2006,320000
1302,Gd,270,452,309,1302,Gd,9350,0,7,6,1302,1964,1991,158000
936,Gd,936,0,672,936,TA,7200,0,5,5,936,1980,1980,140000
864,No,646,218,336,864,TA,7000,0,8,5,864,1978,2005,136500
820,Gd,969,148,0,1347,TA,7000,0,7,5,1117,1910,1991,107500
990,No,686,304,672,990,TA,9245,0,5,5,990,1994,1995,145000
1636,No,152,977,0,3086,Ex,18030,0,6,5,1598,1946,1994,200500
1337,Mn,699,638,531,1337,Gd,8450,39,5,7,1337,2003,2003,185000
694,No,0,672,936,1214,TA,10410,0,4,3,672,1915,1950,105000
1368,No,0,1368,474,1368,Gd,6792,35,5,7,1368,2005,2006,202665
1212,Mn,36,1176,460,1212,Gd,10420,22,5,6,1212,2009,2009,186000
1080,No,570,510,288,1080,TA,9464,0,7,6,1080,1958,1958,136000
804,No,505,299,523,1682,Gd,8750,77,5,6,804,1998,1998,200500
790,Mn,712,84,566,1574,TA,18800,111,5,6,796,1976,1976,190000
691,No,592,99,409,1498,TA,13031,44,5,6,691,1995,1996,187500
920,No,700,216,492,1861,Gd,13450,91,5,7,916,2002,2002,200000
1258,Av,0,1258,648,1258,Gd,3922,16,5,7,1258,2006,2007,172500
1253,No,733,520,352,1253,TA,10920,213,5,6,1253,1960,1960,157000
1484,Av,712,761,606,1484,Gd,8400,35,5,7,1473,2004,2005,213000
1163,Mn,0,1163,396,1674,TA,21780,36,7,6,1163,1918,1950,185000
864,No,191,673,463,864,TA,8120,0,7,4,864,1970,1970,124500
1128,No,0,1078,360,1573,TA,6240,0,7,5,1078,1930,1992,162900
1734,Av,1300,434,660,1734,Gd,11645,24,5,7,1734,2005,2005,260000
495,None,0,0,672,1922,Gd,7301,0,5,7,0,2003,2003,198500
1340,None,0,0,252,1340,TA,9060,0,6,5,0,1957,2006,120000
698,No,535,155,440,1426,TA,7950,0,6,6,690,1977,1977,159500
720,No,0,624,484,720,TA,8520,0,8,6,624,1928,2003,105900
1301,No,0,1288,462,2417,Gd,16059,82,5,8,1288,1991,1992,260000
796,No,732,64,480,1362,TA,14115,30,5,5,796,1993,1995,143000
951,No,285,666,327,951,TA,8765,28,6,4,951,1936,1950,106500
783,No,0,783,393,1484,Gd,10237,72,5,6,783,2005,2007,178900
773,No,0,684,0,1355,Gd,6882,0,7,6,684,1914,2006,127000
694,No,365,75,352,694,Gd,4280,0,6,5,440,1913,2002,90350
1029,Mn,903,126,261,1029,TA,7943,0,5,4,1029,1961,1961,118500
1097,No,416,409,495,1993,TA,14803,66,5,6,825,1971,1971,190000
793,Mn,507,286,410,1118,TA,7800,0,7,5,793,1939,1950,119900
713,No,450,241,506,1452,Gd,3735,34,5,7,691,1999,1999,183900
804,No,556,248,440,1548,Gd,2308,0,6,6,804,1976,1976,155000
2392,Gd,56,2336,968,2392,Ex,13472,105,5,10,2392,2003,2003,386250
1040,No,824,216,308,1040,TA,7500,0,5,5,1040,1963,1963,133000
1182,No,448,448,509,2142,Gd,13000,72,6,6,896,1968,1968,193500
1088,Av,0,1088,1025,1959,Gd,9000,46,5,8,1088,2006,2006,270000
1080,No,680,400,0,1080,Gd,7500,0,5,7,1080,2004,2005,141000
703,No,0,689,540,1392,Gd,3604,102,5,7,689,2007,2007,146000
988,No,827,161,572,988,TA,9945,0,5,5,988,1961,1961,128500
1098,No,552,280,486,1978,TA,9900,43,5,7,832,1968,1968,176000
1588,Av,1162,426,472,1588,Gd,10264,29,5,7,1588,1999,1999,214000
1478,Av,578,892,484,1478,Gd,4403,144,5,7,1470,2009,2009,222000
2121,Gd,0,2121,732,2121,Ex,14450,98,5,9,2121,2006,2007,415298
1301,No,0,1293,572,1301,Gd,7200,121,5,7,1293,2006,2006,187750
1241,No,1106,135,569,1241,Gd,4274,116,5,7,1241,2006,2007,199900
1523,No,644,549,478,1523,TA,11361,0,5,6,1193,1976,1976,180000
1344,Gd,1309,35,784,1344,TA,7060,0,5,7,1344,1997,1998,206300
1240,Av,0,1240,826,1240,Gd,8556,93,5,7,1240,2006,2006,194000
1120,None,0,0,528,2240,TA,7018,0,5,5,0,1979,1979,142953
1440,No,678,762,467,1440,Gd,12546,0,7,6,1440,1981,1981,182900
864,No,0,864,280,864,TA,9353,0,5,4,864,1970,1970,116050
1680,No,144,379,583,1680,Gd,10140,73,5,7,1650,1998,1999,213250
944,No,0,778,240,1489,TA,9900,0,7,6,778,1940,1950,139500
1349,No,0,1349,539,1349,TA,8450,55,5,7,1349,2000,2001,179000
901,No,0,901,281,901,TA,6000,0,7,4,901,1954,2000,107900
810,No,387,374,484,1603,Gd,7153,124,5,6,761,1992,1992,175900
1152,No,0,1092,300,1152,Gd,14000,36,8,6,1092,1950,2004,158500
1072,Gd,547,0,525,1072,TA,3675,28,5,5,547,2005,2005,145000
2259,Mn,35,905,450,2259,Gd,21000,120,5,6,1809,1953,1953,217000
1040,Mn,532,364,484,1040,Gd,8800,0,7,5,1040,1977,2008,150500
1258,Av,1198,0,400,1258,TA,12900,0,4,4,1198,1969,1969,108959
697,No,518,179,420,1501,Gd,7685,63,5,6,697,1993,1994,165600
1466,Av,16,1450,610,1466,Gd,8925,18,5,8,1466,2007,2007,201000
1053,No,806,247,312,1053,Gd,10007,0,7,5,1053,1959,2006,145500
1752,No,456,1296,576,1752,Ex,7658,82,5,9,1752,2005,2005,319900
1494,Gd,1443,39,514,1494,Gd,16196,25,5,7,1482,1998,1998,215000
1425,No,490,935,576,1425,TA,10175,0,5,6,1425,1964,1964,180500
1702,No,1540,162,1052,1702,Ex,8769,72,5,9,1702,2008,2008,367294
1800,No,0,1800,702,1800,Ex,11923,136,5,9,1800,2007,2007,239000
1272,No,1084,188,0,2200,TA,8777,70,7,5,1272,1900,2003,145900
833,No,0,588,228,1666,Gd,5100,63,7,8,588,1925,1996,161000
1392,No,790,133,564,2784,Gd,16692,112,5,7,1392,1978,1978,250000
1131,No,168,739,672,1131,TA,5925,72,7,4,907,1937,2000,89471
792,No,0,792,400,1517,Gd,11435,0,7,8,792,1929,1950,230000
1120,No,206,914,0,1120,TA,8402,30,5,5,1120,2007,2007,147000
812,No,0,384,392,1482,Gd,9125,25,5,7,384,1992,1992,163900
864,No,524,160,576,864,TA,10500,0,6,4,864,1971,1971,97000
1188,No,1000,188,531,1188,TA,12160,0,5,5,1188,1959,1959,142000
778,No,0,770,614,1576,Gd,8125,50,5,7,770,2006,2006,197000
960,Av,789,171,576,960,TA,9873,288,5,4,960,1970,1970,129000
1574,No,24,1550,824,1574,Gd,11957,104,5,8,1574,2006,2006,232000
997,No,0,793,0,1517,Fa,8500,0,7,5,793,1919,2005,115000
1464,Av,444,76,480,1464,TA,12886,0,6,5,520,1963,1999,175000
1277,No,0,1264,889,2344,Gd,10208,0,5,7,1264,1996,1997,265000
1358,Av,720,638,484,1358,Gd,8198,30,5,7,1358,2004,2004,207000
948,No,0,924,463,1690,TA,8063,48,5,6,924,2000,2000,181000
1382,Gd,672,0,884,1382,TA,19296,0,5,6,1362,1962,1962,176000
888,No,0,650,476,1564,TA,8400,50,6,6,650,1980,1981,171000
1306,Av,900,406,624,1306,Gd,5381,63,5,6,1306,2005,2005,196000
1137,No,980,92,551,1137,Gd,13811,0,6,6,1112,1987,1987,176000
988,No,0,988,520,988,TA,21750,0,5,5,988,1954,1954,113000
576,Av,349,23,288,1109,TA,10500,0,7,5,372,1971,2005,139000
1134,No,588,422,254,1134,TA,7000,16,7,5,1010,1960,2002,135000
1548,No,956,384,624,2614,TA,10800,243,7,6,1522,1974,1997,240000
865,No,617,0,398,1310,TA,7000,0,6,6,617,1924,1950,112000
1080,No,336,748,484,1080,TA,9187,0,5,6,1084,1983,1983,134000
1496,Gd,1441,55,612,2132,Gd,12327,40,8,8,1496,1983,2009,316600
1222,No,0,570,487,1920,Gd,10192,98,6,7,570,1968,1992,170000
734,No,0,648,440,1118,TA,4400,0,8,6,648,1920,1950,116000
1704,No,1218,486,772,1704,Gd,11478,50,5,8,1704,2007,2008,306000
861,No,262,599,539,861,TA,12342,0,5,4,861,1940,1950,82500
1041,No,384,143,539,1743,TA,11700,0,6,6,702,1968,1968,175000
483,No,321,162,280,987,TA,1869,0,6,6,483,1970,1970,106000
1220,Av,684,515,632,1220,Gd,7406,54,5,7,1199,2006,2006,194000
1402,Av,0,1258,648,1402,Gd,3922,16,5,7,1258,2006,2007,194201
848,Mn,662,186,420,848,Gd,4435,0,5,6,848,2004,2004,155900
990,No,746,244,480,990,TA,8072,64,5,5,990,1994,1995,138000
1357,Av,719,300,312,1357,Ex,11512,0,7,6,1019,1959,2006,177000
1535,No,2,1515,532,1535,Gd,10171,0,5,7,1517,2004,2004,214000
914,Av,298,572,576,914,TA,8846,0,5,5,870,1996,1996,148000
936,No,0,504,576,1252,TA,7438,0,8,5,504,1908,1991,127000
1003,Av,819,184,588,1003,TA,7937,0,6,6,1003,1984,1984,142500
630,Av,509,121,286,630,TA,1477,0,4,4,630,1970,1970,80000
1138,Av,507,81,264,1138,TA,10482,0,8,6,588,1958,1958,145000
858,No,319,539,490,1716,TA,9247,84,6,6,858,1962,1962,171000
765,No,471,294,440,1365,TA,1920,36,5,5,765,1971,1971,122500
1339,No,504,525,294,1339,TA,7560,0,6,5,1029,1958,1965,139000
1228,Mn,767,461,472,1228,Gd,4671,120,5,8,1228,1988,1989,189000
778,No,403,212,924,778,TA,6900,25,6,5,740,1940,1955,120500
1040,No,616,424,0,1040,TA,8430,0,5,5,1040,1978,1978,124000
948,Mn,0,686,0,1928,TA,7082,0,8,5,686,1916,1995,160000
1338,No,500,748,968,2634,TA,11643,0,5,5,1248,1969,1969,200000
1251,No,553,698,461,1251,TA,8800,116,6,6,1251,1964,1964,160000
1476,Mn,904,536,736,2153,Ex,11050,142,5,9,1440,2000,2000,313000
1787,Gd,0,1753,748,1787,Gd,14781,150,5,8,1753,2001,2002,275000
864,No,41,823,0,864,TA,8248,0,3,3,864,1914,1950,67000
1114,No,646,468,576,1114,Gd,13695,102,5,5,1114,2004,2004,159000
1652,Av,1196,298,499,1652,Ex,5330,48,5,8,1494,2000,2000,251000
1040,None,0,0,400,1040,TA,8544,0,4,3,0,1950,1950,92900
784,No,784,0,0,784,Gd,6130,0,6,5,784,1924,1950,109500
1842,Gd,1810,32,894,1842,Gd,50271,72,5,9,1842,1981,1987,385000
1465,No,187,111,596,2380,TA,18450,265,5,6,1021,1965,1979,129000
1411,No,822,564,544,1411,TA,11900,0,5,7,1386,1977,1977,82500
1553,Gd,28,0,576,2730,Gd,10380,96,5,7,1502,1986,1987,301000
1656,Av,24,1632,826,1656,Gd,11096,146,5,8,1656,2006,2006,249700
630,Av,495,135,0,630,TA,1890,0,7,4,630,1972,1972,81000
1472,Av,1036,336,588,1472,TA,14115,48,5,7,1372,1980,1980,187500
1392,No,0,1392,576,1392,TA,13560,0,3,6,1392,1968,1968,110000
1001,No,0,485,255,1635,Gd,5310,0,8,6,485,1910,2003,117000
864,Mn,360,504,288,864,TA,9560,0,7,5,864,1972,1972,128500
1506,Gd,16,1346,440,1506,Gd,3013,20,5,7,1362,2005,2005,213490
1006,No,866,132,871,2046,Gd,10625,62,5,7,998,2003,2004,284000
1454,No,0,1406,504,1936,Gd,11194,124,5,8,1406,2000,2000,230500
1888,No,247,557,578,1888,Gd,16492,0,6,6,1517,1966,2002,190000
1236,No,465,447,288,1236,TA,6993,0,7,5,912,1961,1994,135000
1370,No,0,1090,479,1370,TA,10400,0,5,7,1090,1976,1976,152000
1040,None,0,0,400,1040,TA,8544,0,4,3,0,1949,1950,87500
575,No,350,0,576,1135,Gd,7200,0,9,7,560,1936,2007,155000
864,No,432,432,0,864,TA,10500,0,5,4,864,1971,1971,115000
1099,No,0,1099,352,1099,Gd,9525,0,6,5,1099,1995,2006,144000
979,No,595,378,467,1850,Gd,29959,98,6,7,973,1994,1994,248000
825,No,0,780,280,1412,TA,6000,0,6,6,780,1939,1950,132500
896,No,0,896,0,1792,TA,9000,45,5,5,896,1974,1974,136000
833,No,415,418,326,833,Gd,5400,0,7,5,833,1954,2000,117000
1152,None,0,0,0,1152,Fa,6040,0,5,4,0,1955,1955,82000
1478,No,1270,208,498,1478,TA,17600,40,5,6,1478,1960,1960,157500
720,No,312,408,240,1284,TA,3500,35,7,5,720,1947,1950,110000
892,No,0,841,502,1675,TA,24682,103,5,6,841,1999,1999,181000
936,None,0,936,474,1776,Gd,14006,96,5,7,936,2002,2002,192500
920,Mn,486,434,608,1786,Gd,11250,42,5,7,920,2001,2002,223500
1262,Gd,978,284,460,1262,TA,9600,0,8,6,1262,1976,1976,181500
1088,No,0,1074,461,1088,Gd,3696,74,5,8,1074,1986,1986,170000
1360,Av,1036,184,565,1360,Gd,5814,0,5,8,1220,1984,1984,187500
770,No,490,280,520,1582,Gd,8320,45,5,7,770,2004,2004,185900
976,No,428,300,256,1308,TA,9600,70,7,5,728,1940,1950,160000
1431,Av,560,871,666,1431,Gd,9017,35,5,7,1431,1999,1999,192000
1429,No,594,331,572,1429,Gd,14585,110,6,6,1144,1960,1987,181900
1095,Mn,0,1095,1053,1939,Gd,10728,51,5,8,1095,2006,2006,266000
864,No,0,864,0,864,TA,4060,96,8,5,864,1922,1950,99900
1426,Gd,0,1410,641,2945,Gd,13682,0,5,10,1410,2006,2006,438780
1314,Mn,936,364,552,1314,Gd,8640,112,5,8,1300,2009,2009,229456
1836,No,24,1836,484,1836,Gd,9100,33,5,7,1860,2004,2005,216837
866,No,329,357,0,866,Gd,3880,42,9,5,686,1945,1997,110500
1569,No,988,398,660,1569,Gd,3635,20,5,7,1386,2007,2007,175900
1690,Gd,1416,234,841,3279,Ex,53504,36,5,8,1650,2003,2003,538000
4692,Gd,5644,466,1418,5642,Ex,63887,292,5,10,6110,2008,2008,160000
983,No,649,321,480,1739,Gd,2645,0,5,8,970,1999,2000,172500
755,Mn,0,755,296,1510,TA,9084,0,5,4,755,1940,1950,108000
1050,No,0,1050,352,1795,TA,12150,0,5,5,1050,1954,1954,131500
694,None,0,0,0,1294,TA,10800,114,7,4,0,1900,2000,106250
2084,Av,1636,442,1220,2084,Ex,14803,45,5,10,2078,2007,2008,385000
1766,Mn,1121,645,478,1766,Ex,9187,130,5,9,1766,2009,2009,370878
2000,Gd,1410,542,538,2704,Ex,13860,111,7,8,1952,1972,1995,345000
520,No,0,520,240,520,Fa,6324,0,6,4,520,1927,1950,68500
1020,No,223,794,180,2057,Gd,11500,0,7,7,1017,1936,1987,250000
1694,Av,0,1694,776,1694,Gd,10475,33,5,8,1694,2008,2008,245350
842,Mn,0,702,250,1472,Gd,9600,0,8,5,702,1925,1994,125000
1276,No,0,1276,282,2080,Gd,10918,0,9,7,1276,1926,2004,234000
988,No,399,484,240,1505,TA,9144,0,5,5,883,1940,1982,145000
1586,No,0,1362,435,1586,TA,17043,0,5,6,1362,1979,1998,181000
929,No,0,755,0,2229,TA,5520,198,6,6,755,1912,1950,104000
956,No,656,300,618,2084,Gd,10142,45,5,7,956,2004,2004,233000
1080,Av,427,132,492,1752,TA,12134,12,7,8,559,1988,2005,164000
960,No,410,390,240,1740,TA,13125,0,6,7,800,1940,1984,219500
847,No,0,847,434,1948,Gd,12393,48,5,7,847,2004,2005,195000
897,No,637,0,570,1336,TA,11040,47,6,4,637,1920,1950,108000
894,No,894,0,552,894,TA,9800,0,7,5,894,1972,1972,149900
1980,Av,1447,533,770,1980,Ex,16737,45,5,9,1980,2004,2005,315000
753,No,547,224,213,1494,Gd,7500,0,7,6,771,1942,1950,177500
1048,No,580,333,288,1558,TA,10930,0,6,5,913,1945,1950,140000
1294,Av,0,1286,662,1294,Gd,6762,55,5,7,1286,2006,2006,193879
2136,No,756,1380,528,2136,TA,10680,30,3,5,2136,1951,1951,137900
672,No,317,355,264,1218,TA,1680,28,7,6,672,1972,1972,118000
1719,Gd,1619,100,473,1719,Gd,10846,30,5,8,1719,1993,1993,324000
2402,Gd,1767,788,672,2402,Ex,15431,72,5,10,3094,2008,2008,555000
1664,No,168,0,216,2526,Gd,8520,15,7,6,714,1916,1950,136000
708,No,280,140,0,708,Fa,5330,0,7,4,420,1940,1950,82500
581,No,0,530,288,1111,Fa,7200,0,7,5,530,1920,1996,101000
