1stFlrSF,BsmtExposure,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,KitchenQual,LotArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1160,Gd,249,0,538,2126,TA,28698,0,5,5,1013,1967,1967,185000
1128,Mn,776,344,525,1128,TA,8700,20,6,5,1120,1963,1963,155000
1306,Mn,860,132,756,1306,TA,8712,0,7,5,992,1957,2000,153000
798,No,0,546,0,1344,TA,1533,0,6,4,546,1970,2008,97000
1576,No,0,718,704,2554,TA,10800,48,8,7,718,1890,1998,159500
893,No,220,625,576,893,Gd,9600,0,7,5,845,1949,2003,135000
894,Mn,0,894,668,1933,Gd,14598,18,5,6,894,2007,2007,214000
672,No,356,316,264,1218,TA,1890,28,5,6,672,1973,1973,113000
1161,No,0,808,534,1969,TA,11952,0,6,7,808,1977,1977,190000
1220,No,1079,141,556,2090,Gd,10000,65,5,8,1220,1995,1996,240000
1484,Av,998,486,487,1484,TA,12243,0,6,5,1484,1971,1971,175000
1656,No,0,1656,506,1656,TA,9246,211,5,5,1656,1973,1973,135000
818,No,468,350,210,1224,TA,3950,0,8,6,818,1926,2004,115000
1022,No,695,297,390,2054,Gd,12224,48,5,6,992,2000,2000,244000
854,No,0,832,576,854,TA,6120,112,8,7,832,1929,2001,132000
546,No,334,212,286,1092,TA,1974,96,5,4,546,1973,1973,83500
1268,Av,196,1072,252,1268,Gd,9286,0,7,5,1268,1977,1989,143500
827,Av,385,70,550,1661,Gd,10667,61,6,7,799,1996,1996,212000
1668,Av,370,315,502,1668,Gd,10635,262,5,8,1657,2003,2003,232000
1493,Gd,994,484,508,1493,Gd,13125,39,5,6,1478,1997,1998,208900
932,No,0,932,306,932,Gd,8280,0,5,6,932,1950,1950,124000
1277,Gd,778,499,526,1277,TA,10628,0,5,7,1277,1970,1970,167000
1530,Av,1300,230,630,1530,Gd,14572,36,5,7,1530,2004,2004,259000
1344,No,457,193,484,1344,TA,9503,28,5,5,1024,1958,1983,144000
860,Av,672,168,528,860,TA,8740,0,6,5,840,1982,1982,137000
1314,No,904,410,626,1314,Gd,5001,62,5,7,1314,2007,2008,230000
1391,Mn,464,927,868,1962,Gd,8760,90,5,7,1391,2006,2006,239799
788,Av,724,64,388,1490,Gd,15384,75,5,7,788,2004,2005,184000
848,Av,662,186,420,848,Gd,4426,0,5,6,848,2004,2004,143000
672,No,0,672,240,672,TA,10200,0,8,5,672,1940,1997,108000
1188,No,275,877,252,2340,Gd,9042,60,9,7,1152,1941,2006,266500
808,No,0,660,180,1656,TA,10410,0,7,5,660,1916,1987,135000
725,No,626,99,484,1479,Gd,7472,32,9,7,725,1972,2004,184000
1226,No,0,1226,740,1226,Gd,10402,36,5,7,1226,2009,2009,198900
976,Gd,568,264,444,2087,Gd,12205,168,8,6,832,1966,2007,187500
1158,No,941,217,576,1158,Gd,13072,50,5,6,1158,2004,2004,158000
1154,Mn,740,184,480,1154,TA,11000,58,6,5,1154,1966,1966,154000
880,Av,0,880,527,1724,Gd,8924,155,5,7,880,1998,1999,188000
773,No,219,554,431,1658,TA,8000,84,5,6,773,1995,1996,188000
1126,None,0,0,520,1126,Gd,8777,96,5,4,0,1949,2003,108000
872,No,0,816,300,1393,TA,16466,0,7,5,816,1955,1955,135500
1968,Mn,192,536,1014,3447,Gd,14100,12,9,8,728,1935,1997,381000
483,No,309,174,264,987,TA,1953,0,5,6,483,1973,1973,83000
808,No,351,112,0,1355,TA,10106,0,7,5,644,1940,1999,127500
2069,Gd,425,160,505,2069,Gd,27650,0,7,7,585,1960,2007,242000
757,No,549,195,440,1501,TA,2280,0,5,7,744,1999,1999,179400
1976,Gd,1350,626,908,1976,Gd,14977,63,5,8,1976,2006,2007,440000
1563,No,33,1530,758,1563,Gd,10206,99,5,8,1563,2007,2007,245000
572,No,0,572,288,1111,TA,5700,0,7,7,572,1926,1950,116900
851,No,0,776,270,1502,TA,7200,0,6,7,776,1931,2000,149000
1733,None,0,0,452,1733,TA,13680,0,5,3,0,1955,1955,139600
1848,No,1410,438,706,2728,Ex,20431,0,5,9,1848,2005,2006,437154
630,No,231,399,264,1302,TA,1680,0,7,5,630,1972,1972,119500
1332,Gd,1258,74,586,1524,Gd,23595,0,6,7,1332,1979,1979,260000
1120,None,0,0,680,1588,TA,17120,59,4,4,0,1959,1959,134432
1125,No,0,1125,430,1125,TA,8536,64,5,5,1125,2006,2007,155000
520,No,0,600,480,1200,Gd,3180,166,5,7,600,2005,2005,151000
798,No,0,798,520,1640,Gd,8366,45,5,6,798,2004,2004,173000
1223,No,1000,223,525,2127,Gd,10944,132,5,7,1223,1994,1994,271000
972,No,680,292,240,972,TA,8000,0,6,6,972,1948,2002,132000
1142,No,584,544,466,2020,Gd,9828,155,5,8,1128,1995,1995,239500
1144,Av,739,405,596,1144,TA,9571,0,6,5,1144,1956,1956,129000
1352,Av,300,468,288,1352,Gd,6930,0,4,5,1062,1958,1958,130000
926,No,234,0,484,1316,TA,5500,0,7,5,926,1929,2001,130000
1086,Av,956,130,592,1924,Gd,12011,75,5,8,1086,1998,1998,280000
1164,No,1040,124,240,1164,TA,10880,48,5,5,1164,1950,1950,125000
952,Mn,852,100,840,952,TA,7350,0,7,5,952,1951,1951,139000
938,No,259,425,0,2358,TA,5250,54,5,8,684,1872,1987,122000
1680,No,808,72,540,1680,Gd,21695,44,9,6,880,1988,2007,222000
1221,No,0,482,672,1912,TA,10800,25,7,6,482,1905,2000,163000
1004,No,578,426,480,1004,TA,11241,0,7,6,1004,1970,1970,149000
774,No,384,363,305,1230,TA,4712,57,7,4,747,1946,1950,121600
1167,No,645,270,495,1167,TA,8731,0,5,5,915,1920,1950,144000
1301,Mn,405,740,440,1301,Fa,6911,0,5,5,1145,1924,1950,100000
1453,Gd,1082,371,445,1453,Gd,5271,80,5,7,1453,1986,1986,190000
1601,Av,1358,223,670,1601,Gd,11423,0,5,8,1581,2001,2002,272000
1588,Av,0,1588,825,1588,Gd,10000,45,5,8,1588,2006,2006,227000
1095,Gd,513,75,264,1095,TA,10382,0,5,6,588,1958,1958,140000
1050,No,915,135,368,1050,TA,10659,319,6,5,1050,1961,1961,136500
960,No,520,440,432,960,TA,10921,0,5,4,960,1965,1965,94750
1002,Mn,0,810,280,1456,TA,7585,0,3,5,810,1948,1950,91500
1489,No,0,1489,462,1489,Gd,9156,0,7,6,1489,1968,1968,185750
1726,No,1126,600,786,1726,Ex,9416,138,5,7,1726,2007,2007,311872
1362,No,0,1362,484,2082,Gd,11426,238,5,7,1362,2003,2003,200000
1339,No,1053,256,484,1339,TA,8049,58,5,7,1309,1990,1990,180000
1310,Mn,781,503,1069,2450,Gd,16545,126,5,8,1284,1998,1998,340000
879,Av,0,879,660,1863,Gd,14054,17,5,7,879,2006,2006,219210
768,Av,656,112,396,768,TA,8445,0,7,5,768,1972,2007,133000
334,None,0,0,0,334,Fa,5000,0,3,1,0,1946,1950,39300
1136,No,892,244,384,1136,TA,9200,0,6,6,1136,1965,1965,140000
1337,No,1201,36,405,1337,TA,4500,199,5,6,1237,1998,1998,153500
912,No,312,0,288,912,TA,7800,0,5,5,912,1964,1964,115000
876,No,540,324,264,1812,TA,7590,168,5,5,864,1962,1962,169500
1052,No,378,342,240,2192,Gd,8400,24,8,5,720,1939,1997,179500
658,No,0,658,0,1184,TA,8410,151,3,5,658,1910,1996,81000
964,No,0,925,308,1889,TA,10120,0,4,7,925,1910,1950,122000
1327,No,405,658,624,1327,Gd,7388,0,6,5,1063,1959,2002,150750
1422,No,588,606,576,1422,Gd,12090,0,6,6,1422,1981,1981,175500
1632,Av,0,1632,576,1632,TA,25000,0,4,5,1632,1967,1967,143000
1630,No,0,1630,451,1630,Gd,9750,234,5,7,1630,2000,2001,213000
1013,No,0,1013,0,1526,Fa,8470,0,2,3,1013,1915,1982,85000
1040,None,0,0,420,1040,TA,7200,0,5,4,0,1949,1950,90000
841,No,0,806,216,1647,Fa,6858,66,4,6,806,1915,1950,128000
1328,No,622,500,576,1981,Gd,7804,44,3,4,1122,1928,1950,135000
1644,No,1285,131,418,1644,TA,9600,0,5,6,1416,1953,1953,167000
1482,No,0,1482,868,2574,Ex,9588,148,5,8,1482,2007,2007,276000
1060,No,0,764,520,1824,TA,13515,0,6,6,764,1919,1950,180500
1350,Gd,624,288,520,1350,TA,9020,0,5,6,1248,1964,1964,168500
958,No,958,0,440,958,TA,4928,60,6,6,958,1976,1976,143750
1053,No,0,833,370,1848,Gd,13053,0,7,6,833,1923,2000,207000
1620,No,1116,165,490,1620,TA,9991,78,4,4,1281,1976,1993,150000
1167,No,560,598,400,1167,Gd,9248,26,6,6,1158,1992,1992,173000
798,No,94,641,220,1487,TA,8741,140,4,6,735,1945,1950,113000
892,No,432,460,288,892,TA,7150,0,5,5,892,1967,1967,100000
804,No,510,278,240,804,Gd,7200,0,7,5,788,1940,1992,119000
1140,No,0,1140,0,1140,TA,17217,56,5,5,1140,2006,2006,84500
983,No,400,380,483,1796,TA,7056,50,5,6,780,1963,1963,140000
1118,No,156,692,551,2030,Gd,12046,224,6,6,848,1976,1976,195000
1026,Av,765,252,812,2007,Ex,11003,52,5,10,1017,2008,2008,310000
691,No,0,691,216,691,Ex,5400,20,6,5,691,1920,1950,86000
786,No,0,768,676,1590,Gd,9000,30,5,8,768,2008,2008,210000
1216,No,444,550,325,1855,TA,9525,0,4,6,994,1954,1972,136900
1028,No,0,994,442,1804,Gd,7500,60,5,7,994,1999,1999,189000
884,No,550,334,543,1768,Gd,8158,63,5,7,884,2003,2003,224900
1831,Gd,1387,543,807,3627,Gd,35760,76,5,10,1930,1995,1996,625000
1298,No,1258,40,403,1298,Gd,11200,26,5,6,1298,1985,1985,180000
1801,No,1247,254,484,1801,TA,15602,54,8,7,1501,1959,1997,289000
630,Av,553,77,0,630,Ex,1533,0,7,5,630,1970,1970,92000
1103,No,397,706,440,1103,Gd,6000,120,6,6,1103,1925,1980,110500
859,Mn,0,859,384,1178,TA,8712,0,7,4,859,1900,1950,102776
1196,No,197,999,440,1196,TA,4800,0,7,4,1196,1916,1990,109900
1372,No,0,1372,529,1372,Gd,8640,140,5,7,1372,2007,2008,250580
1431,Gd,371,728,296,1431,TA,9150,110,5,6,1099,1962,1962,165000
1422,Av,0,1422,626,1422,Gd,8500,60,5,7,1422,2004,2004,179600
1079,Av,985,595,501,1953,Gd,53107,231,5,6,1580,1992,1992,240000
1121,No,0,1121,440,1121,TA,8546,64,5,4,1121,2003,2004,140000
1143,Av,0,1143,852,2473,Gd,9591,151,5,8,1143,2004,2005,317000
1057,No,417,640,576,1057,TA,7420,0,5,5,1057,1962,1962,132000
1110,Av,1097,0,602,1110,Gd,9101,30,6,5,1097,1978,1978,165500
1164,No,524,628,671,2270,Gd,11764,57,7,8,1152,1999,2007,290000
2018,Gd,0,2002,746,2018,Ex,13214,76,5,9,2002,2008,2009,378500
672,Mn,438,234,440,1386,TA,11616,0,5,6,672,1978,1978,158900
1082,Mn,0,1082,1043,1953,Gd,10574,50,5,8,1082,2005,2006,252000
1337,No,733,604,462,1337,Gd,5395,0,5,8,1337,1993,1993,180000
997,No,0,969,648,2285,Gd,11000,56,5,8,969,2000,2000,248000
1718,Gd,1288,417,826,1718,Gd,10637,44,5,8,1705,2007,2008,297000
1086,Av,516,380,484,1086,TA,13400,0,5,5,1024,1966,1966,159950
1555,No,0,1373,660,1555,Gd,3684,20,5,7,1373,2007,2007,174000
1902,Av,1406,496,567,1902,Ex,17500,207,8,7,1902,1959,2002,335000
1298,No,1216,0,693,2514,TA,11170,0,5,7,1216,1990,1991,250000
1224,Av,1086,0,528,1224,TA,7018,0,5,5,1086,1979,1979,153337
1054,No,602,14,460,1054,TA,9750,0,8,6,1054,1969,1969,151000
1276,No,854,371,676,2612,Gd,12203,0,5,8,1225,1998,1999,336000
902,No,599,277,288,902,TA,6173,0,6,5,876,1967,1967,125500
1153,No,692,153,484,2353,Ex,13005,195,7,7,845,1980,1980,260000
689,No,378,311,299,1392,TA,10900,36,7,6,689,1977,1977,161750
1155,Av,899,210,576,1155,Gd,11782,0,7,5,1109,1961,1995,148000
1136,No,180,676,240,1904,TA,7200,0,4,5,1208,1950,1982,138000
950,No,0,862,208,1158,TA,6000,0,7,6,862,1929,1950,120000
751,Mn,0,611,502,1362,TA,6155,0,8,6,611,1920,1999,128000
1005,No,0,975,429,2291,Gd,8738,0,5,7,975,1999,1999,230000
649,No,0,649,250,1317,TA,8500,54,4,4,649,1920,1950,40000
1734,No,1004,730,928,1734,Ex,12085,0,5,8,1734,2007,2007,318000
1194,No,0,1194,312,1194,TA,8760,0,6,6,1194,1959,1959,148000
876,Mn,0,876,720,1416,TA,12665,0,8,5,876,1915,1950,153900
1383,Mn,1064,319,354,1383,TA,13284,116,5,5,1383,1954,1954,165000
1001,No,284,717,871,2002,TA,6270,0,6,5,1001,1949,1950,145000
1496,Av,0,1496,474,1496,Gd,9158,130,5,8,1496,2007,2007,225000
984,No,408,156,660,1604,TA,10998,68,5,5,984,1941,1960,117000
764,No,0,680,504,764,TA,5232,0,5,5,680,1925,2004,73000
977,No,0,741,476,1732,Gd,9206,46,5,6,741,1985,1985,178000
1494,Av,0,1494,840,1494,Gd,10652,33,5,7,1494,2006,2007,279500
986,No,0,960,180,986,TA,6180,128,5,6,960,1926,1950,102000
1145,No,16,1129,397,1145,Gd,3182,16,5,7,1145,2005,2006,160200
742,No,0,742,0,1484,TA,6300,291,6,6,742,1914,2001,128000
1344,No,111,354,525,1344,Gd,14375,118,6,6,819,1958,1958,137500
958,No,0,650,686,1539,Gd,10440,78,8,5,650,1904,2002,157500
1134,No,0,1122,656,2504,Ex,11198,39,5,9,1122,2005,2007,325000
747,Mn,0,600,528,747,TA,5825,0,5,4,600,1926,1953,79900
1108,Av,975,133,583,2097,Gd,9750,170,6,7,1108,1998,1998,274300
3138,Gd,2260,878,884,4676,Ex,40094,406,5,10,3138,2007,2008,184750
786,No,0,698,624,1176,TA,6000,0,9,6,698,1937,2000,134900
720,No,495,225,0,720,TA,7879,523,5,4,720,1920,1950,34900
1580,No,0,1580,830,1580,Gd,11932,24,5,8,1580,2007,2008,235128
1440,Gd,1440,0,0,1440,TA,7711,0,3,4,1440,1977,1977,150000
738,No,193,545,540,1476,Gd,8633,35,5,6,738,2005,2005,173500
1500,Av,20,1480,570,1500,Gd,8487,36,5,7,1500,2004,2004,190000
884,No,0,884,216,1348,TA,6000,0,8,5,884,1925,1997,117000
1200,Mn,661,203,884,1200,Gd,9230,64,8,5,864,1965,1998,146000
1394,No,609,785,514,1394,TA,9500,76,5,6,1394,1963,1963,159000
800,No,400,336,484,1632,Gd,9130,40,8,6,800,1966,2000,173000
